,date,tweet,clean_tweets,len,Sentiment
0,2020-05-26 19:42:13,Corona in the airports https://t.co/hpnGAWIoZc,corona airpo hpngawiozc,23,0
1,2020-05-26 19:46:11,"RT @jwiechers: If he had said he had warned about pandemics, fair enough. So did a lot of people, but yes, he genuinely did, too.

However,…",jwiechers said warned pandemics fair enough lot people yes genuinely however,76,1
2,2020-05-26 19:46:11,"RT @t_d_h_nair: Translation: How has Narendra Modi Government handled the fight against Corona?
1. Good
2. Average 
3. Poor
4. Pathetic 

D…",h nair translation narendra modi government handled fight corona good average poor pathetic,91,-1
3,2020-05-26 19:46:11,Five more people who came recently from Delhi-Haryana have been tested positive for #COVID19. They are at Corona Ca… https://t.co/pSSzdEzuEl,five people came recently delhi haryana tested positive covid corona ca psszdezuel,82,1
4,2020-05-26 19:46:12,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
5,2020-05-26 19:46:12,RT @tumisole: They’ll be selling ‘Corona Water Cleanser’ at the Churches!,tumisole selling corona water cleanser churches,47,0
6,2020-05-26 19:46:13,"RT @AreginaldJ: @WTKR3 @GovernorVA I thought CDC said corona virus is .03-.07 macrons and that masks, even n95, are not effective at blocki…",areginaldj wtkr governorva thought cdc said rona virus macrons masks even n effective blocki,92,1
7,2020-05-26 19:46:13,im starting to go into the mood of not turning in any assigments&lt;3 great love that for me thanks corona for ruining… https://t.co/fpJbqWZ0Ea,im sta ing go mood turning assigments lt great love thanks rona ruining fpjbqwz ea,82,1
8,2020-05-26 19:46:14,"RT @Nick_Clamorgan: If we could, theoretically, stage a debate between the best intellectuals of both political sides, broadcasted, live an…",nick clamorgan uld theoretically stage debate best intellectuals political sides broadcasted live,97,1
9,2020-05-26 19:46:14,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
10,2020-05-26 19:46:16,"Wait, is there still Corona virus in this country or just vibes?",wait still corona virus untry vibes,35,0
11,2020-05-26 19:46:16,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
12,2020-05-26 19:46:16,"RT @jwiechers: Cummings said he warned about i.a. corona virus in 2019.

Thing is, he didn't. References to SARS and corona virus were adde…",jwiechers cummings said warned rona virus thing references sars rona virus adde,79,0
13,2020-05-26 19:46:16,RT @WISN12News: MCTS to resume collecting fares June 1 https://t.co/vSpTdtYcHR,wisn news mcts resume llecting fares june vsptdtychr,52,0
14,2020-05-26 19:46:17,"RT @AUThackeray: The good news: @mybmcWardGS now has 1002 happily recovered persons who fought and won against corona virus. 
Let’s spread…",authackeray good news mybmcwardgs happily vered persons fought rona virus let spread,84,1
15,2020-05-26 19:46:17,So true !!! @PTIofficial,true ptiofficial,16,1
16,2020-05-26 19:46:18,Smh last time I tried to fuck with a taco truck he wasn't washing his hands or wearing gloves.. right when Corona h… https://t.co/Imz4qST5db,smh last time tried fuck ta truck washing hands wearing gloves right corona h imz qst db,88,-1
17,2020-05-26 19:46:19,"RT @CMShehbaz: The pattern of leadership or no leadership at all displayed by Imran Khan in times of crises is abysmal, to put it mildly. A…",cmshehbaz pattern leadership leadership displayed imran khan times crises abysmal put mildly,92,1
18,2020-05-26 19:46:19,RT @chanceharbour: whenever corona is gone i will be always be down to do anything for the foreseeable future,chanceharbour whenever rona gone always anything foreseeable future,67,0
19,2020-05-26 19:46:19,"I like carrots and i don't understand how you not can like them, like the are orange and tasty and very beatuiful a… https://t.co/iJdN7J7FqT",like carrots understand like like orange tasty beatuiful ijdn j fqt,67,0
20,2020-05-26 19:46:20,Weirder and weirder!,weirder weirder,15,0
21,2020-05-26 19:46:20,RT @thehealthgworl: PSA: the corona virus is still very present and you can still very well die.,thehealthgworl psa rona virus still present still well die,58,0
22,2020-05-26 19:46:22,RT @_zoethomas: The @WomensHistNet corona virus hardship scheme for historians of women’s &amp; gender history also has its deadline this week…,zoethomas womenshistnet rona virus hardship scheme historians women amp gender history also deadline week,105,0
23,2020-05-26 19:46:22,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
24,2020-05-26 19:46:23,"RT @Nas_k27: @CMShehbaz PM khan is still engaged with His work or receiving calls from world leaders, making policies and trying to solve 1…",nas k cmshehbaz pm khan still engaged work receiving calls world leaders making policies trying solve,101,0
25,2020-05-26 19:46:23,I'm guessing you can't get Corona while eating?,guessing get corona eating,26,0
26,2020-05-26 19:46:23,RT @Bethesda_school: Our friends we thank you for all you have done for us throughout the years. We want to beg for your help during this c…,bethesda school friends thank done us throughout years want beg help c,70,0
27,2020-05-26 19:46:23,We want YOU to join our CREW! Don’t be sidelined during Corona Time.... Make some money this summer. Good #mnjobs -… https://t.co/OJMyMILhnt,want join crew sidelined corona time make money summer good mnjobs ojmymilhnt,77,1
28,2020-05-26 19:46:24,"RT @NirjhariSinha: Only 742 tested for #Corona
In Ahmedabad which has witnessed a very high death rate
Don't look for any logic. Gujarat Mo…",nirjharisinha tested corona ahmedabad witnessed high death rate look logic gujarat mo,85,1
29,2020-05-26 19:46:25,"RT @mvmeet: Instead of becoming corona warriors,

Shiv Sena goons vandalised shops after owners posted against Uddhav on Social Media!

Eve…",mvmeet instead ming rona warriors shiv sena goons vandalised shops owners posted uddhav social media eve,104,1
30,2020-05-26 19:46:25,RT @RituRathaur: Delhi Police Report says that Maulana Asad deliberately &amp; willfully allowed corona to bred for two weeks in #NizamuddinMar…,riturathaur delhi police repo says maulana asad deliberately amp willfully allowed rona bred two weeks nizamuddinmar,116,0
31,2020-05-26 19:46:25,"RT @InsafPK: Dear Mr. TT Sharif.

Needless to say how your massive corruption has been exposed through 56 Companies in Punjab &amp; yet you got…",insafpk dear mr tt sharif needless say massive rruption exposed companies punjab amp yet got,92,-1
32,2020-05-26 19:46:25,@DecodeMatrix I was searching through my dog’s vaccinations and saw he got a shot for Corona. Is this the same thing?,de dematrix searching dog vaccinations saw got shot corona thing,64,0
33,2020-05-26 19:46:25,RT @tumisole: They’ll be selling ‘Corona Water Cleanser’ at the Churches!,tumisole selling corona water cleanser churches,47,0
34,2020-05-26 19:46:25,"The fact that all of this chaos is going on in the world due to the corona virus, and white people still doing what… https://t.co/cZ7jO5Dbqg",fact chaos going world due rona virus white people still cz jo dbqg,67,-1
35,2020-05-26 19:46:25,"RT @jjowarai: @rumireports I got my corona English down pat

#japannews https://t.co/MPyrDlMPgy",jjowarai rumirepo got rona english pat japannews mpyrdlmpgy,59,0
36,2020-05-26 19:46:26,RT @tumisole: They’ll be selling ‘Corona Water Cleanser’ at the Churches!,tumisole selling corona water cleanser churches,47,0
37,2020-05-26 19:46:27,"RT @Ab_chaturvedi7: #justice_for_12th_students
@ChouhanShivraj sir we are requested you to re-think about 12th board exam don't take sudden…",ab chaturvedi justice th students chouhanshivraj sir requested think th board exam take sudden,94,0
38,2020-05-26 19:46:28,RT @Arifa_Akbar: These short films are well worth watching on BBC4 or iPlayer this week. My review: https://t.co/WaLJIHFYDB,arifa akbar sho films well wo h watching bbc iplayer week review waljihfydb,75,0
39,2020-05-26 19:46:28,"@mrjamesob Nope, he likes to think he is https://t.co/S4758G0tNG",mrjamesob nope likes think g tng,32,0
40,2020-05-26 19:46:28,RT @rifqwii: How Ms Corona be flexing:,rifqwii ms corona flexing,25,0
41,2020-05-26 19:46:29,@CMShehbaz Leadership? You stole from Pakistan’s people. That money could’ve helped the poor survive corona or rebu… https://t.co/WyaLMRkw4i,cmshehbaz leadership stole pakistan people money uld helped poor survive rona rebu wyalmrkw,91,-1
42,2020-05-26 19:46:29,"RT @FortRussNews: @QAlertsApp @TheBeeGuy0 Please see if you can RT this!

https://t.co/ANjBPrAMIB",fo russnews qale sapp thebeeguy please see anjbpramib,53,0
43,2020-05-26 19:46:29,@SethSTannenbaum @JohnWorsencroft @loumoore12 @melanienewport @admcgregor85 @danroyles @BryantSimon And to think we… https://t.co/TJJOEwmt3r,sethstannenbaum johnworsencroft loumoore melanienewpo admcgregor danroyles bryantsimon think tjjoewmt r,103,0
44,2020-05-26 19:46:30,"@DrMkhize4 Someone on here said, ""the way you guys open your mouths when you're judging others at church, the Coron… https://t.co/2rU9CxEyko",drmkhize someone said way guys open mouths judging others church coron ru cxeyko,80,0
45,2020-05-26 19:46:30,"Now playing Tragman - Really Truly
https://t.co/R89ihW8Hgk
https://t.co/ZNTD3V8N6c",playing tragman really truly r ihw hgk zntd v n c,49,1
46,2020-05-26 19:46:31,RT @MarketingWal: Wow! Just finishing Day 1 of the most amazing training #rethinkandgrowrich  I've ever attended! The trainer @PaulOMahony…,marketingwal wow finishing day amazing training rethinkandgrowrich ever attended trainer paulomahony,100,1
