SN,tweet_text,polarity
576,even I am at least a meter away corona requires time,-0.3
577,Ta is the corona virus has c,0.0
578,A crowned head na nothing cum corona,0.0
579,Ma re m m arr told you to control things jealous will put in Corona,0.0
580,Imagine tonight macron announces that the corona c was an April Fool,0.0
581,So the police officers who gather to patrol the corona they not catch and can not pass,0.0
582,Tfacon I'll tell them I hop corona and we talk more,0.5
583,freestyle freestyle containment corona start m not give me the warm c is not the time,0.6
584,Whore 7820 people have liked such tweet us hope that Corona takes these morons,-0.0666666666666667
585,c qd corona kills all men prcq i swear jpeux see me these rats,0.0
586,Corona c is the right time to arr ter smoking and take up sport,0.2857142857142857
587,"Note Month March in Mali between 20 30i me day Friday, March 26, 1991 Coup d'état Wednesday, March 21, 2012 coup d State Tuesday, March 24, 2020 At March Corona virus did you become a soul taker taker me for us Malians",0.0
588,Seen as c left this summer we are going to eat cooked corona,0.0
589,If you want to have 18 emp che corona t have d j,0.0
590,Ma re m she came Taleur reassure me because she thought I was afraid of dying before my Corona 22,-0.6
591,My dad told treats malaria But apparently heals corona,0.05
592,I'm in the same situation if chepa have the corona c is not as bad as feeling,-0.3499999999999999
593,For all the time I have ADEMO t but you have t corona corona corona t have not you go you go you go no no it's like a c is like a AAA instead of words save me,0.0
594,excuse me but die before the corona I have wanted to put myself races every night allows me to forget this shit,-0.125
595,The corona he wants to do his taff with it a little,0.0062500000000000056
596,Needless to Corona in the Gulag,-0.5
597,has made the great 2020 tweets I have vla concerts corona us returned swept vapor,0.8
598,Cold shower for Macron Merkel expressed during a summit Thursday in European opposition to the id e corona bonds as desired by fran ais and Italian leaders to lay the r e li crisis in new coronavirus,-0.1159090909090909
599,So the police officers who gather to patrol the corona they not catch and can not pass,0.0
600,Tfacon I'll tell them I hop corona and we talk more,0.5
601,freestyle freestyle containment corona start m not give me the warm c is not the time,0.6
602,Whore 7820 people have liked such tweet us hope that Corona takes these morons,-0.0666666666666667
603,c qd corona kills all men prcq i swear jpeux see me these rats,0.0
604,Corona c is the right time to arr ter smoking and take up sport,0.2857142857142857
605,"Note Month March in Mali between 20 30i me day Friday, March 26, 1991 Coup d'état Wednesday, March 21, 2012 coup d State Tuesday, March 24, 2020 At March Corona virus did you become a soul taker taker me for us Malians",0.0
606,Seen as c left this summer we are going to eat cooked corona,0.0
607,If you want to have 18 emp che corona t have d j,0.0
608,Ma re m she came Taleur reassure me because she thought I was afraid of dying before my Corona 22,-0.6
609,My dad told treats malaria But apparently heals corona,0.05
610,I'm in the same situation if chepa have the corona c is not as bad as feeling,-0.3499999999999999
611,For all the time I have ADEMO t but you have t corona corona corona t have not you go you go you go no no it's like a c is like a AAA instead of words save me,0.0
612,excuse me but die before the corona I have wanted to put myself races every night allows me to forget this shit,-0.125
613,The corona he wants to do his taff with it a little,0.0062500000000000056
614,Needless to Corona in the Gulag,-0.5
615,has made the great 2020 tweets I have vla concerts corona us returned swept vapor,0.8
616,Cold shower for Macron Merkel expressed during a summit Thursday in European opposition to the id e corona bonds as desired by fran ais and Italian leaders to lay the r e li crisis in new coronavirus,-0.1159090909090909
617,t have the rem against the corona,0.0
